node,in_degree,out_degree,pagerank,betweenness,clustering
hosea606666,16,0,0.00025595937345680025,0.0,0.0
henrymulyungik,31,11,0.000255527848645039,0.00012235411964138407,0.046341463414634146
sff_ke24,3,2,0.0002552528690547063,3.1981724728726444e-05,0.1
imbayik,30,0,0.0002550570213430634,0.0,0.0
kilundeezy,20,0,0.0002543240798673361,0.0,0.0
xtiandela,40,1,0.00025372292765956826,0.0,0.0024390243902439024
mumbi_wathika,26,0,0.000253549037971607,0.0,0.0
saitabao,41,0,0.0002532571728154465,0.0,0.0
mkenyamzi,39,13,0.00025298568367825236,0.0,0.010638297872340425
husskhalid,65,5,0.0002514141081727512,8.566533409480297e-07,0.017902813299232736
epicstevens_,27,4,0.00024951176169517986,5.806205977536646e-06,0.014778325123152709
slyvanus021,35,0,0.00024639783985319836,0.0,0.0
medicsforkenya,29,0,0.00024609190189587405,0.0,0.0024630541871921183
qw_angieeee,35,0,0.0002460700199018435,0.0,0.0
gakumo_migwi,17,15,0.00024496413045643626,0.0,0.027586206896551724
thee_maveric,52,3,0.0002433568559011852,8.566533409480297e-07,0.0032653061224489797
drjuma_m,60,0,0.00024210718265550767,0.0,0.0
shipetamathias,3,0,0.0002420856768157881,0.0,0.6666666666666666
melmaindi,38,0,0.00024178379757651538,0.0,0.0
vinguard254,36,0,0.00024172584200085235,0.0,0.0
tessciku,1,1,0.0002412066386739656,2.4462212069293736e-05,0.0
